OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
700359,f3332d3d,11/05/2011 01:05:00 AM,Saturday,Nov,5,2011,1,11,6,2011,GRAND LARCENY,FELONY,H,1,MANHATTAN,N.Y. POLICE DEPT,983085,202273,"(40.721877518, -74.004204344)"
700360,8d3f6ec9,11/05/2011 01:15:00 AM,Saturday,Nov,5,2011,1,11,5,2011,ROBBERY,FELONY,C,13,MANHATTAN,N.Y. POLICE DEPT,987033,207016,"(40.734895538, -73.989959434)"
700361,2f69abfa,09/05/2013 05:00:00 AM,Thursday,Sep,5,2013,5,9,7,2013,GRAND LARCENY,FELONY,G,61,BROOKLYN,N.Y. POLICE DEPT,993894,156698,"(40.5967790030001, -73.965274575)"
700362,3060e32c,09/05/2013 05:05:00 AM,Thursday,Sep,5,2013,5,9,5,2013,BURGLARY,FELONY,D,121,STATEN ISLAND,N.Y. POLICE DEPT,947029,167436,"(40.6261796580001, -74.1340887979999)"
700363,4a7b4473,09/05/2013 05:15:00 AM,Thursday,Sep,5,2013,5,1,28,2014,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
700364,6ab9fe3e,09/05/2013 05:50:00 AM,Thursday,Sep,5,2013,5,9,5,2013,FELONY ASSAULT,FELONY,,13,MANHATTAN,N.Y. POLICE DEPT,988874,207673,"(40.73669807, -73.983316026)"
700365,a43c08b8,09/05/2013 06:00:00 AM,Thursday,Sep,5,2013,6,9,16,2013,GRAND LARCENY,FELONY,I,61,BROOKLYN,N.Y. POLICE DEPT,998486,158178,"(40.600835117, -73.94873623)"
700366,3e9f6fda,09/05/2013 06:15:00 AM,Thursday,Sep,5,2013,6,9,5,2013,ROBBERY,FELONY,D,81,BROOKLYN,N.Y. POLICE DEPT,1001931,190301,"(40.688999611, -73.936246269)"
700367,e5c37640,09/05/2013 06:30:00 AM,Thursday,Sep,5,2013,6,9,5,2013,GRAND LARCENY,FELONY,C,100,QUEENS,N.Y. POLICE DEPT,1035552,152050,"(40.583877971, -73.815304767)"
700368,c6153e99,09/05/2013 06:45:00 AM,Thursday,Sep,5,2013,6,9,5,2013,GRAND LARCENY,FELONY,A,6,MANHATTAN,N.Y. POLICE DEPT,984649,204461,"(40.727883116, -73.9985618709999)"
