occurrence_date,object_id,identifier,compstat_date,offense,sector,precinct,borough,jurisdiction,xcoord,ycoord,latitude,longitude
2012-02-21 09:25:00,700079,45d1913f,2012-02-21,BURGLARY,D,9,MANHATTAN,N.Y. POLICE DEPT,987311,204629,40.7283437150001,-73.9889573999999
2012-02-21 09:44:00,700080,394c30c4,2012-02-21,GRAND LARCENY,F,1,MANHATTAN,N.Y. POLICE DEPT,981503,199243,40.713560543,-74.009910388
2013-10-10 17:00:00,700081,22dd9523,2013-10-10,GRAND LARCENY,B,18,MANHATTAN,N.Y. POLICE DEPT,991042,215966,40.759458873,-73.975484557
2013-10-10 17:00:00,700082,e3d8f59b,2013-10-10,GRAND LARCENY,F,26,MANHATTAN,N.Y. POLICE DEPT,998178,238002,40.8199334130001,-73.94968025
2013-10-10 17:00:00,700083,76b25aa6,2013-10-15,GRAND LARCENY OF MOTOR VEHICLE,G,26,MANHATTAN,N.Y. POLICE DEPT,996241,236149,40.814850289,-73.956681848
2013-10-10 17:15:00,700084,b6a3329d,2013-10-11,GRAND LARCENY OF MOTOR VEHICLE,C,121,STATEN ISLAND,N.Y. POLICE DEPT,947264,167623,40.6266939170001,-74.133243244
2013-10-10 17:15:00,700085,a32796f5,2013-10-10,GRAND LARCENY,G,72,BROOKLYN,N.Y. POLICE DEPT,979036,172660,40.6405950930001,-74.018788747
2013-10-10 17:15:00,700086,99a53e09,2013-10-10,GRAND LARCENY,D,14,MANHATTAN,N.Y. POLICE DEPT,987220,212676,40.7504307680001,-73.989282176
2013-10-10 17:15:00,700087,113da979,2013-10-10,FELONY ASSAULT,H,41,BRONX,N.Y. POLICE DEPT,1015150,240413,40.826507857,-73.888350165
2013-10-10 17:30:00,700088,2d6eff00,2013-10-10,GRAND LARCENY,K,61,BROOKLYN,N.Y. POLICE DEPT,995790,161364,40.6095839590001,-73.958439342
2013-10-10 17:30:00,700089,3933fac2,2013-10-10,ROBBERY,E,69,BROOKLYN,N.Y. POLICE DEPT,1012170,168964,40.630407898,-73.899414259
2013-10-10 17:30:00,700090,e9ad6dc8,2013-10-10,ROBBERY,C,41,BRONX,N.Y. POLICE DEPT,1015252,236829,40.8166704400001,-73.8879981649999
2013-10-10 17:58:00,700091,edcf0d,2013-10-10,BURGLARY,A,115,QUEENS,N.Y. POLICE DEPT,1022997,215835,40.7590170220001,-73.860138354
2013-10-10 18:00:00,700092,9eb382d3,2013-11-17,BURGLARY,K,122,STATEN ISLAND,N.Y. POLICE DEPT,950385,147411,40.5712285920001,-74.121898551
2013-10-10 18:00:00,700093,588b8aa7,2013-10-24,GRAND LARCENY,G,1,MANHATTAN,N.Y. POLICE DEPT,982117,201543,40.719873663,-74.007696305
2013-10-10 18:00:00,700094,b9a4b3db,2013-10-11,ROBBERY,A,9,MANHATTAN,N.Y. HOUSING POLICE,991204,201754,40.720450333,-73.9749144799999
2013-10-10 18:00:00,700095,c665e627,2013-10-14,GRAND LARCENY,D,10,MANHATTAN,N.Y. POLICE DEPT,983229,210993,40.7458117950001,-74.0036861689999
2013-10-10 18:00:00,700096,3d8de6bd,2013-10-10,ROBBERY,A,115,QUEENS,N.Y. POLICE DEPT,1021013,216795,40.7616604450001,-73.867294638
2013-10-10 18:15:00,700097,53b128e4,2013-10-23,FELONY ASSAULT,A,69,BROOKLYN,N.Y. POLICE DEPT,1009508,173530,40.6429485800001,-73.9089875289999
2013-10-10 18:30:00,700098,a78aa4d,2013-10-14,BURGLARY,D,14,MANHATTAN,N.Y. POLICE DEPT,987473,213443,40.752535901,-73.988368685
2013-10-10 18:30:00,700099,31d844d7,2013-10-11,BURGLARY,J,32,MANHATTAN,N.Y. POLICE DEPT,999943,237471,40.8184730080001,-73.943304631
2013-10-10 18:30:00,700100,ea0d2d92,2013-10-10,ROBBERY,C,62,BROOKLYN,N.Y. POLICE DEPT,983393,158818,40.602603179,-74.0030876609999
2014-10-27 05:00:00,700101,27b776c0,2014-10-27,FELONY ASSAULT,A,34,MANHATTAN,N.Y. POLICE DEPT,1003111,251977,40.858281565,-73.931818262
2014-10-27 05:11:00,700102,fb78ff6b,2014-10-27,RAPE,H,72,BROOKLYN,N.Y. POLICE DEPT,983964,179071,40.6581934320001,-74.0010322429999
2014-10-27 05:15:00,700103,53f93aef,2014-10-27,ROBBERY,E,70,BROOKLYN,N.Y. POLICE DEPT,990526,169514,40.6319593050001,-73.9773904209999
2014-10-27 05:20:00,700104,3f0b593,2014-10-27,BURGLARY,F,6,MANHATTAN,N.Y. POLICE DEPT,983298,207370,40.7358675670001,-74.003436639
2014-10-27 05:27:00,700105,5ac27763,2014-10-27,FELONY ASSAULT,C,52,BRONX,N.Y. POLICE DEPT,1010327,253958,40.863700447,-73.905724473
2014-10-27 05:30:00,700106,3843808d,2014-10-28,GRAND LARCENY,H,75,BROOKLYN,N.Y. POLICE DEPT,1018330,186538,40.6786230920001,-73.877132893
2014-10-27 05:30:00,700107,76c50fc4,2014-10-27,ROBBERY,E,114,QUEENS,N.Y. POLICE DEPT,1004395,214053,40.7541878380001,-73.92729035
2014-10-27 05:30:00,700108,22905ce4,2014-10-29,GRAND LARCENY OF MOTOR VEHICLE,P,46,BRONX,N.Y. POLICE DEPT,1008470,251020,40.855641813,-73.912448753
2014-10-27 06:15:00,700109,c0c99a84,2014-10-27,FELONY ASSAULT,B,102,QUEENS,N.Y. POLICE DEPT,1031076,193779,40.6984396940001,-73.831129539
2014-10-27 06:20:00,700110,f446027b,2014-10-27,ROBBERY,H,109,QUEENS,N.Y. POLICE DEPT,1037323,217106,40.7624311960001,-73.8084166199999
2014-10-27 06:30:00,700111,31b6ef7a,2014-10-27,FELONY ASSAULT,H,109,QUEENS,N.Y. POLICE DEPT,1037348,217356,40.76311723,-73.8083243999999
2014-10-27 06:50:00,700112,570d64eb,2014-10-27,FELONY ASSAULT,D,48,BRONX,N.Y. POLICE DEPT,1015600,246925,40.8443798180001,-73.886693742
2014-10-27 06:55:00,700113,87dc0339,2014-11-07,BURGLARY,G,17,MANHATTAN,N.Y. POLICE DEPT,993045,215899,40.7592732100001,-73.968254471
2014-10-27 07:00:00,700114,c610f5b9,2014-11-07,GRAND LARCENY,N,75,BROOKLYN,N.Y. POLICE DEPT,1016506,176978,40.6523898670001,-73.883754686
2014-10-27 07:00:00,700115,cb226d96,2014-10-27,ROBBERY,I,73,BROOKLYN,N.Y. POLICE DEPT,1011000,182708,40.6681357910001,-73.9035749019999
2014-10-27 07:00:00,700116,e73d5582,2014-11-04,BURGLARY,J,107,QUEENS,N.Y. POLICE DEPT,1035793,201346,40.7191830580001,-73.8140604119999
2014-10-27 07:00:00,700117,87f5c70b,2014-10-28,GRAND LARCENY OF MOTOR VEHICLE,D,33,MANHATTAN,N.Y. POLICE DEPT,1000665,246136,40.8422546360001,-73.940674937
2014-10-27 07:20:00,700118,f6bcf877,2014-10-27,BURGLARY,H,62,BROOKLYN,N.Y. POLICE DEPT,984086,165781,40.6217152230001,-74.000592206
2014-10-27 07:20:00,700119,c7bbfd60,2014-10-27,GRAND LARCENY,J,90,BROOKLYN,N.Y. POLICE DEPT,1001998,197770,40.7095001370001,-73.9359849959999
2014-10-27 07:30:00,700120,c282e82b,2014-12-17,RAPE,A,107,QUEENS,N.Y. POLICE DEPT,1036790,205267,40.7299393640001,-73.810433142
2014-10-27 07:30:00,700121,3d23d931,2014-10-27,FELONY ASSAULT,E,23,MANHATTAN,N.Y. HOUSING POLICE,999452,228508,40.7938729040001,-73.945098846
2011-02-16 22:30:00,700122,4b29476a,2011-02-22,ROBBERY,E,42,BRONX,N.Y. POLICE DEPT,1014334,242209,40.831440178,-73.89129057
2011-02-16 23:00:00,700123,ced36d2b,2011-02-17,FELONY ASSAULT,F,102,QUEENS,N.Y. POLICE DEPT,1033415,196084,40.704753682,-73.822677433
2011-02-16 23:00:00,700124,7e78ada4,2011-02-17,BURGLARY,A,109,QUEENS,N.Y. POLICE DEPT,1033871,210461,40.7442124390001,-73.820926774
2011-02-16 23:00:00,700125,e3d30abf,2011-02-24,GRAND LARCENY,F,19,MANHATTAN,N.Y. POLICE DEPT,993063,216978,40.7622347710001,-73.968188083
2011-02-16 23:00:00,700126,7fadc57f,2011-02-17,BURGLARY,F,44,BRONX,N.Y. POLICE DEPT,1005101,240943,40.827991995,-73.924658651
2011-02-16 23:00:00,700127,1bd811e5,2011-02-16,ROBBERY,G,43,BRONX,N.Y. POLICE DEPT,1025659,241359,40.8290613390001,-73.8503721119999
2011-02-16 23:02:00,700128,b1e5413e,2011-02-17,GRAND LARCENY,D,69,BROOKLYN,N.Y. POLICE DEPT,1014793,173241,40.64213869,-73.889945046
2011-02-16 23:05:00,700129,591ec5d9,2011-02-17,ROBBERY,C,23,MANHATTAN,N.Y. HOUSING POLICE,997920,227368,40.7907464140001,-73.9506340419999
2011-02-16 23:15:00,700130,c10fdca2,2011-02-17,ROBBERY,E,63,BROOKLYN,N.Y. POLICE DEPT,1005877,168276,40.628537082,-73.922088195
2011-02-16 23:30:00,700131,1a914cc2,2011-02-18,BURGLARY,K,122,STATEN ISLAND,N.Y. POLICE DEPT,947732,148200,40.57338371,-74.1314522769999
2011-02-16 23:30:00,700132,4ca82bf,2011-02-17,FELONY ASSAULT,N,67,BROOKLYN,N.Y. POLICE DEPT,1004500,180655,40.662518015,-73.927011804
2011-02-16 23:30:00,700133,7ea1187,2011-02-18,GRAND LARCENY OF MOTOR VEHICLE,E,48,BRONX,N.Y. POLICE DEPT,1018410,245315,40.839950419,-73.8765458249999
2011-03-09 00:00:00,700134,7fb8ae92,2011-04-23,GRAND LARCENY,K,32,MANHATTAN,N.Y. HOUSING POLICE,1000641,237827,40.8194488610001,-73.940781977
2011-03-09 00:00:00,700135,d69a5495,2012-07-25,RAPE,C,52,BRONX,N.Y. POLICE DEPT,1017542,255919,40.8690585320001,-73.8796301479999
2011-03-09 00:01:00,700136,6271924e,2011-03-09,GRAND LARCENY,F,68,BROOKLYN,N.Y. POLICE DEPT,978972,168177,40.6282901710001,-74.0190158469999
2011-03-09 00:01:00,700137,97bce1a,2011-04-11,GRAND LARCENY,A,113,QUEENS,N.Y. POLICE DEPT,1041699,182679,40.667910217,-73.7929138279999
2011-03-09 00:01:00,700138,6848bda3,2011-06-01,FELONY ASSAULT,G,75,BROOKLYN,N.Y. POLICE DEPT,1016152,183429,40.6700977090001,-73.884999937
2011-03-09 00:01:00,700139,897fd743,2011-06-01,FELONY ASSAULT,G,75,BROOKLYN,N.Y. POLICE DEPT,1016152,183429,40.6700977090001,-73.884999937
2011-03-09 00:15:00,700140,aca420c,2011-03-09,FELONY ASSAULT,H,73,BROOKLYN,N.Y. HOUSING POLICE,1010869,183398,40.6700300810001,-73.904044397
2011-03-09 00:15:00,700141,baa4bc72,2011-03-09,ROBBERY,I,115,QUEENS,N.Y. POLICE DEPT,1022862,212950,40.75109903,-73.860642223
2011-02-28 09:30:00,700142,b9aabbab,2011-02-28,BURGLARY,K,67,BROOKLYN,N.Y. POLICE DEPT,1004460,174124,40.6445919390001,-73.9271755509999
2013-05-29 08:00:00,700171,59dc507d,2013-06-13,GRAND LARCENY,G,17,MANHATTAN,N.Y. POLICE DEPT,993166,215385,40.757862291,-73.9678183839999
